OBJECTID,kod_negeri,NEGERI
1,1,Johor
10,10,Selangor
11,11,Terengganu
12,14,W.P. Kuala Lumpur
13,15,W.P. Labuan
14,16,W.P. Putrajaya
2,2,Kedah
3,3,Kelantan
4,4,Melaka
5,5,Negeri Sembilan
6,6,Pahang
7,7,Pulau Pinang
8,8,Perak
9,9,Perlis
